대여소_ID,주소1,주소2,위도,경도,구,총_사용인원,평균_사용인원
ST-999,서울특별시 양천구 목동서로 280,목동아파트 8단지 상가동,0.0,0.0,양천구,,
ST-998,서울특별시 양천구 목동서로 130,목동아파트 4단지 상가동,0.0,0.0,양천구,,
ST-997,서울특별시 양천구 목동중앙로 49,목동3단지 시내버스정류장,37.53439,126.869598,양천구,8602.0,330.84615384615387
ST-996,서울특별시 양천구 남부순환로88길5-16,양강중학교앞 교차로,37.524334,126.850548,양천구,694.0,26.692307692307693
ST-995,서울특별시 양천구 중앙로 153 공중화장실,,37.510597,126.857323,양천구,634.0,24.384615384615383
ST-994,서울특별시 양천구 목동서로161,SBS방송국,37.529163,126.872749,양천구,5656.0,217.53846153846155
ST-993,서울특별시 양천구 신월로 342-1 구두수선대19,,37.521511,126.857384,양천구,2920.0,112.3076923076923
ST-992,서울특별시 마포구 마포대로 163,서울신용보증재단,37.549061,126.954178,마포구,3372.0,134.88
ST-991,서울특별시 마포구 성암로330,DMC첨단산업센터,37.584503,126.885597,마포구,992.0,39.68
ST-990,서울특별시 상암동 1715-29,롯데하이마트 (상암월드컵점),37.57362,126.898048,,,
ST-99,서울특별시 광진구 능동로 10,뚝섬유원지역 1번출구 앞,37.53186,127.067192,광진구,34322.0,1320.076923076923
ST-989,서울특별시 월드컵로5길 11,합정동 주민센터,0.0,0.0,,,
ST-988,서울특별시 광진구 능동로 42,신양초교앞 교차로,37.535221,127.068398,광진구,2588.0,99.53846153846153
ST-987,서울특별시 광진구 아차산로 304,원일교회,37.538052,127.076599,광진구,5932.0,228.15384615384616
ST-986,서울특별시 광진구 아차산로78길 7,광진유진스웰,37.550488,127.108955,광진구,556.0,21.384615384615383
ST-985,서울특별시 광진구 능동로 지하 417,중곡역 1번출구 앞,37.565659,127.084297,광진구,3136.0,120.61538461538461
ST-984,서울특별시 광진구 자양로 131,광진구청 앞,37.539501,127.083,광진구,4908.0,188.76923076923077
ST-983,서울특별시 광진구 능동로 313,군자역2번출구,37.557587,127.079697,광진구,7194.0,276.6923076923077
ST-982,서울특별시 마포구 월드컵로 251,이동정비,37.564224,126.897522,마포구,,
ST-981,서울특별시 송파구 중대로 16,송파구 중대로 16,37.489872,127.11084,송파구,620.0,23.846153846153847
ST-980,서울특별시 광진구 자양동 749,,37.528454,127.078033,광진구,5230.0,201.15384615384616
ST-98,서울특별시 광진구 능동로 76,광진구의회 앞,37.537308,127.070351,광진구,5002.0,192.3846153846154
ST-979,서울특별시 종로구 청와대로 73,종로구 세종로 1-54,37.583515,126.979668,종로구,,
ST-978,서울특별시 종로구 효자로13길 45,종로구 궁정동 98-2,37.583603,126.972549,종로구,,
ST-977,서울특별시 중구 덕수궁길 61 서울시립미술관,,37.565052,126.973404,중구,1918.0,73.76923076923077
ST-976,서울특별시 관악구 신림동 1422-43,,37.484509,126.930069,관악구,1146.0,163.71428571428572
ST-975,서울특별시 강서구 마곡서1로 111-12,신방화역환승주차장,37.567284,126.818275,강서구,8990.0,359.6
ST-974,서울특별시 광진구 능동로 120,학생회관,37.541912,127.077637,광진구,9538.0,366.84615384615387
ST-973,서울특별시 광진구 능동로 120,행정관,37.542778,127.075371,광진구,2824.0,108.61538461538461
ST-972,서울특별시 광진구 능동로 120,입학정보관,37.53989,127.073364,광진구,5472.0,210.46153846153845
ST-971,서울특별시 노원구 마들로 86,한내근린공원 북측,37.623863,127.068489,노원구,3392.0,130.46153846153845
ST-970,서울특별시 노원구 마들로 86,한내근린공원 남측,37.621555,127.069511,노원구,1960.0,75.38461538461539
ST-97,서울특별시 광진구 광나루로 404,,37.54705,127.074333,광진구,6008.0,231.07692307692307
ST-969,서울특별시 서초구 방배천로 54,방배경찰서 민원봉사실 앞,37.481293,126.982483,서초구,,
ST-968,서울특별시 마포구 성산동 661,,37.568977,126.894402,마포구,1200.0,48.0
ST-967,서울특별시 성동구 자동차시장길 49,중랑물재생센터,37.558304,127.05806,성동구,1802.0,69.3076923076923
ST-966,서울특별시 강남구 언주로 427 디오빌역삼,,37.501663,127.042976,강남구,1260.0,50.4
ST-965,서울특별시 관악구 남부순환로 1830,서울대입구역1번출구,37.480869,126.953316,관악구,2932.0,112.76923076923077
ST-964,서울특별시 노원구 화랑로 621 서울여자대학교,서울여대 후문,37.625317,127.088135,노원구,2836.0,109.07692307692308
ST-963,서울특별시 강남구 학동로 342,강남구청역 2번출구 뒤,37.516811,127.040474,강남구,2034.0,81.36
ST-962,서울특별시 강남구 언주로 721,서울본부세관(건설회관 앞),37.51759,127.035027,강남구,740.0,29.6
ST-961,서울특별시 강남구 언주로 726,두산건설 본사,37.518639,127.0354,강남구,792.0,31.68
