cot_conts_id,cot_conts_name,cot_img_main_url,cot_theme_sub_id,thm_theme_type,thm_conts_type,thm_coord_type,cot_addr_full_old,cot_addr_full_new,cot_coord_data,cot_coord_x,cot_coord_y,cot_tel_no,cot_conts_detail,cot_conts_stat,cot_extra_data_01,cot_extra_data_02,cot_name_01,cot_value_01,cot_name_02,cot_value_02,cot_name_03,cot_value_03,cot_name_04,cot_value_04,cot_name_05,cot_value_05,cot_name_06,cot_value_06,cot_name_07,cot_value_07,cot_name_08,cot_value_08,cot_name_09,cot_value_09,cot_name_10,cot_value_10,cot_name_11,cot_value_11,cot_name_12,cot_value_12,cot_name_13,cot_value_13,cot_name_14,cot_value_14,cot_name_15,cot_value_15,cot_name_16,cot_value_16,cot_name_17,cot_value_17,cot_name_18,cot_value_18,cot_name_19,cot_value_19,cot_name_20,cot_value_20,cot_coord_type,cot_line_pattern,cot_line_color,cot_line_weight,fillcolor,fillpattern,fillpatternsize,cot_movie_url,cot_voice_url,cot_nation_base_area,cot_nation_point_number,cot_conts_lan_type,cot_kw,cot_sub_cate_id,cot_sub_cate_name,최종기점주소,위도,경도
D-6013,군자교L,/smgis/ucimgs/conts/1657588761062/1657588761062_jimi0617_20240223141031_1.png,1-5,2,A,1,서울특별시 성동구 용답동 224-4,,"[[127.070724,37.56039],[127.071045,37.56027],[127.07139,37.56013],[127.07302,37.559494],[127.07416,37.559025]]",,,,,Y,,,기점,군자교 종점,종점,군자교 시점,자전거도로의 종류,자전거보행자겸용도로(비분리형),총 연장(km),0.2,관리부서,성동도로사업소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#0070c0,5,#0000FF,0,24.0,,,,다사62085131,KOR,,1-5,(A)비분리형 겸용도로,서울특별시 성동구 용답동 224-4,37.5613328,127.0580146
D-6012,군자교R,/smgis2/file/ucimgs/conts/1657588761062/23D-4205_0_KOR.png,1-5,2,A,1,서울특별시 광진구 중곡동 611-7,서울특별시 광진구 동일로 323,,,,,,Y,,,기점,군자교 시점,종점,군자교 종점,자전거도로의 종류,자전거보행자겸용도로(비분리형),총 연장(km),0.2,관리부서,성동도로사업소,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#0070c0,5,#0000FF,0,24.0,,,04900,다사62325124,KOR,,1-5,(A)비분리형 겸용도로,서울특별시 광진구 동일로 323,37.5600856,127.0737221
D-6011,워커힐고가,/smgis2/file/ucimgs/conts/1657588761062/23D-4205_0_KOR.png,1-5,2,A,1,서울특별시 광진구 광장동 117,서울특별시 광진구 아차산로78길 47,,,,,,Y,,,기점,워커힐고가 시점,종점,워커힐고가 종점 구리시계,자전거도로의 종류,자전거보행자겸용도로(비분리형),총 연장(km),1.0,관리부서,교량안전과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#0070c0,5,#0000FF,0,24.0,,,04969,다사65515031,KOR,,1-5,(A)비분리형 겸용도로,서울특별시 광진구 아차산로78길 47,37.5509773,127.1108714
D-6010,마포대교L,/smgis2/file/ucimgs/conts/1657588761062/23C-4501_0_KOR.png,1-4,2,A,1,서울특별시 영등포구 여의도동 84,,,,,,,Y,,,기점,마포대교(상류교) 남단,종점,마포대교(상류교) 북단,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),1.4,관리부서,교량안전과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#00b050,5,#0000FF,0,24.0,,,07240|07337,다사49664792,KOR,,1-4,(A)분리형 겸용도로,서울특별시 영등포구 여의도동 84,37.5267088,126.9238
D-6009,마포대교R,/smgis2/file/ucimgs/conts/1657588761062/23C-4501_0_KOR.png,1-4,2,A,1,서울특별시 마포구 마포동 37-1,,,,,,,Y,,,기점,마포대교(상류교) 북단,종점,마포대교(상류교) 남단,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),1.4,관리부서,교량안전과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#00b050,5,#0000FF,0,24.0,,,04164,다사50774886,KOR,,1-4,(A)분리형 겸용도로,서울특별시 마포구 마포동 37-1,37.53672,126.94288
D-6008,잠수교,/smgis2/file/ucimgs/conts/1657588761062/23C-4501_0_KOR.png,1-4,2,A,1,서울특별시 서초구 잠원동 122-1,,,,,,,Y,,,기점,잠수교 상류 남단,종점,잠수교 상류 북단,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),0.8,관리부서,교량안전과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#00b050,5,#0000FF,0,24.0,,,06507,다사55664586,KOR,,1-4,(A)분리형 겸용도로,서울특별시 서초구 잠원동 122-1,37.5182544,127.0124028
D-6007,한강대교L,/smgis2/file/ucimgs/conts/1657588761062/23C-4501_0_KOR.png,1-4,2,A,1,서울특별시 용산구 이촌동 172-1,,,,,,,Y,,,기점,한강대교(구교)상류 남단,종점,한강대교(신교)상류 북단,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),0.8,관리부서,교량안전과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#00b050,5,#0000FF,0,24.0,,,04374|04381,다사52394711,KOR,,1-4,(A)분리형 겸용도로,서울특별시 용산구 이촌동 172-1,37.52086,126.96612
D-6006,한강대교R,/smgis2/file/ucimgs/conts/1657588761062/23C-4501_0_KOR.png,1-4,2,A,1,서울특별시 동작구 본동 475-1,서울특별시 동작구 노량진로 238,,,,,,Y,,,기점,한강대교(신교)상류 북단,종점,한강대교(구교)상류 남단,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),0.8,관리부서,교량안전과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#00b050,5,#0000FF,0,24.0,,,06903|06904|06902,다사51964619,KOR,,1-4,(A)분리형 겸용도로,서울특별시 동작구 노량진로 238,37.5127796,126.9530686
D-6005,잠실철교,/smgis2/file/ucimgs/conts/1657588761062/23C-4501_0_KOR.png,1-4,2,A,1,서울특별시 송파구 신천동 1,서울특별시 송파구 송파대로 624,,,,,,Y,,,기점,잠실철교(도로교) 하류 남단,종점,잠실철교(도로교)하류 북단,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),1.2,관리부서,교량안전과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#00b050,5,#0000FF,0,24.0,,,05504,다사64834720,KOR,,1-4,(A)분리형 겸용도로,서울특별시 송파구 송파대로 624,37.5094656,127.1032065
D-6003,보라매공원 도로,/smgis2/file/ucimgs/conts/1657588761062/23C-4501_0_KOR.png,1-4,2,A,1,서울특별시 동작구 신대방동 459-5,,,,,,,Y,,,기점,보라매공원 남문,종점,보라매공원 인공안벽장,자전거도로의 종류,자전거보행자겸용도로(분리형),총 연장(km),0.7,관리부서,동부공원여가센터,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,L,#00b050,5,#0000FF,0,24.0,,,07062|07066,다사48334349,KOR,,1-4,(A)분리형 겸용도로,서울특별시 동작구 신대방동 459-5,37.4955756,126.9195788
