순서,시설ID,컨텐츠 명,사용유무,테마 타입,x 좌표,y 좌표,좌표 배열,좌표타입,메인 이미지,새 주소,구 주소,우편번호,국가 지점 번호,테마 명,거리,업데이트 일,등록일,이미지 URL1,이미지 URL2,이미지 URL3,이미지 URL4,이미지 URL5,동영상 URL,음성파일 URL,평가 점수,평가자 인원,상세정보 이름 1,상세정보 값 1,상세정보 이름 2,상세정보 값 2,상세정보 이름 3,상세정보 값 3,상세정보 이름 4,상세정보 값 4,상세정보 이름 5,상세정보 값 5,상세정보 이름 6,상세정보 값 6,상세정보 이름 7,상세정보 값 7,상세정보 이름 8,상세정보 값 8,상세정보 이름 9,상세정보 값 9,상세정보 이름 10,상세정보 값 10
1,공덕전철역 2번출구, 자전거 일반거치대,사용,일반,126.9505199,37.54441324,[],Point,,서울특별시 마포구 마포대로 109,서울특별시 마포구 공덕동 467,4146,,(친환경)자전거 편의시설,3120.858685,2022-01-18 10:36,2022-01-18 10:36,,,,,,,,,,운영시간 ,24시간,설치지역,지하철역|,상세위치,공덕전철역 2번출구,설치유형(*공기주입기와 주차장 만 선택하세요.),,설치/이용가능대수,20대(비지붕형),운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,마포구청 교통행정과,마포구청 교통행정과
55,용산구 거치대 관공서-05,고려에이트리움 앞 자전거보관소,사용,일반,126.9727305,37.54151526,"[126.972730457,37.541515259]",Point,,서울특별시 용산구 한강대로 259,서울특별시 용산구 갈월동 97-1,4322,다사53424926,(친환경)자전거 편의시설,2271.983559,2023-03-27 13:20,2021-12-24 14:54,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",16대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
2698,광진구_거치대_092,자전거거치대,사용,일반,127.1106196,37.55102118,[],Point,,서울특별시 광진구 아차산로78길 90,서울특별시 광진구 광장동 112,4969,,(친환경)자전거 편의시설,13655.71729,2021-12-16 13:44,2021-12-16 13:44,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,광진정보도서관,,설치유형(*공기주입기와 주차장 만 선택하세요.),,40대,,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
2699,광진구_거치대_093,자전거거치대,사용,일반,127.1114983,37.55185332,[],Point,,서울특별시 광진구 아차산로78길 75,서울특별시 광진구 광장동 556,4969,,(친환경)자전거 편의시설,13735.4861,2021-12-16 13:43,2021-12-16 13:43,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,현대골든텔 2차 옆,,설치유형(*공기주입기와 주차장 만 선택하세요.),,5대,,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
232,용산구 거치대 11103419_1649909955733,국립중앙박물관 입구 우측 자전거보관소,사용,일반,126.9777522,37.52162333,"[126.977752185,37.521623328]",Point,,,서울특별시 용산구 용산동6가 11-438,,다사53854705,(친환경)자전거 편의시설,4263.641884,2023-03-27 14:29,2022-04-14 13:19,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",14대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
243,용산구 거치대,남산도서관 자전거보관소,사용,일반,126.9817288,37.55265747,"[126.981728837,37.552657473]",Point,,서울특별시 용산구 소월로 109,서울특별시 용산구 후암동 30-84,4340,다사54225049,(친환경)자전거 편의시설,1347.416193,2023-03-27 13:35,2022-04-14 11:22,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",14대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
245,용산구 거치대 지하철-04,남영역 맞은편 자전거보관소,사용,일반,126.9714289,37.54189251,"[126.971428866,37.541892514]",Point,,서울특별시 용산구 한강대로81길 32,서울특별시 용산구 갈월동 95-2,4321,다사53304930,(친환경)자전거 편의시설,2249.585105,2023-03-27 13:18,2021-12-24 13:42,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",13대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
247,용산구 거치대 지하철-05,남영역 청파로방면 자전고보관소,사용,일반,126.9709956,37.54112893,"[126.970995623,37.541128933]",Point,,서울특별시 용산구 청파로 241,서울특별시 용산구 원효로1가 112-8,4315,다사53264922,(친환경)자전거 편의시설,2331.640873,2023-03-27 13:17,2021-12-24 13:43,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",14대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
2719,광진구_거치대_170,자전거거치대,사용,일반,127.0714799,37.53367878,[],Point,,서울특별시 광진구 뚝섬로36길 15,서울특별시 광진구 자양동 553-658,5091,,(친환경)자전거 편의시설,10146.82476,2021-12-15 13:36,2021-12-15 13:36,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,관공서|,자양3파출소,,설치유형(*공기주입기와 주차장 만 선택하세요.),,7대,,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
259,용산구 거치대 지하철-24,녹사평역 1번 출구 자전거보관소,사용,일반,126.986168,37.53516814,"[126.986167973,37.535168141]",Point,,,서울특별시 용산구 용산동2가 7,,다사54604855,(친환경)자전거 편의시설,3117.013411,2023-03-27 14:51,2021-12-24 13:32,,,,,,,,,,운영시간 (예. 00:00 ~ 00:00),,설치지역,,"상세위치(예, OO동 주민센터)",,설치유형(*공기주입기와 주차장 만 선택하세요.),,"설치/이용가능대수(예, 00대)",31대,운영형태(*수리센터만 선택하세요.),,"수리범위(*수리센터만 선택하고, 예, 경정비 무상, 부품교체 실비 등.)",,"이동수리센터 순회일정(*이동수리센터만 입력, 예) 자치구 순회일정 안내 게시판 링크)",,"유의사항(예, O0학교 운영시간 외 이용불가 )",,,
