대여소_ID,위도,경도,동
ST-997,37.53439,126.869598,목동
ST-996,37.524334,126.850548,신월동
ST-995,37.510597,126.857323,신정동
ST-994,37.529163,126.872749,목동
ST-993,37.521511,126.857384,신정동
ST-992,37.549061,126.954178,공덕동
ST-991,37.584503,126.885597,상암동
ST-990,37.57362,126.898048,상암동
ST-99,37.53186,127.067192,자양동
ST-988,37.535221,127.068398,자양동
ST-987,37.538052,127.076599,자양동
ST-986,37.550488,127.108955,광장동
ST-985,37.565659,127.084297,중곡동
ST-984,37.539501,127.083,자양동
ST-983,37.557587,127.079697,중곡동
ST-982,37.564224,126.897522,성산동
ST-981,37.489872,127.11084,문정동
ST-980,37.528454,127.078033,자양동
ST-98,37.537308,127.070351,자양동
ST-979,37.583515,126.979668,팔판동
ST-978,37.583603,126.972549,효자동
ST-977,37.565052,126.973404,서소문동
ST-976,37.484509,126.930069,신림동
ST-975,37.567284,126.818275,마곡동
ST-974,37.541912,127.077637,화양동
ST-973,37.542778,127.075371,화양동
ST-972,37.53989,127.073364,화양동
ST-971,37.623863,127.068489,월계동
ST-970,37.621555,127.069511,월계동
ST-97,37.54705,127.074333,화양동
ST-969,37.481293,126.982483,방배동
ST-968,37.568977,126.894402,성산동
ST-967,37.558304,127.05806,용답동
ST-966,37.501663,127.042976,역삼동
ST-965,37.480869,126.953316,봉천동
ST-964,37.625317,127.088135,공릉동
ST-963,37.516811,127.040474,논현동
ST-962,37.51759,127.035027,논현동
ST-961,37.518639,127.0354,논현동
ST-960,37.494823,127.047905,역삼동
ST-96,37.575665,126.894447,상암동
ST-959,37.501545,127.038567,역삼동
ST-958,37.475605,127.050377,개포동
ST-957,37.481384,127.053917,개포동
ST-956,37.492809,127.041389,역삼동
ST-955,37.509121,127.062309,삼성동
ST-954,37.51807,127.047119,삼성동
ST-953,37.519787,127.056763,삼성동
ST-952,37.480721,126.909325,신림동
ST-951,37.471165,126.937019,신림동
ST-950,37.483192,126.902031,신림동
ST-95,37.577469,126.897362,상암동
ST-949,37.494743,126.983063,방배동
ST-948,37.62608,127.026482,미아동
ST-947,37.589329,127.016434,삼선동5가
ST-946,37.555367,126.968643,서계동
ST-945,37.556965,126.96859,만리동1가
ST-944,37.56139,126.995354,충무로4가
ST-943,37.566731,126.996605,을지로4가
ST-942,37.586372,127.080071,면목동
ST-941,37.608719,126.972862,평창동
ST-940,37.606274,126.968681,평창동
ST-94,37.57822,126.89447,상암동
ST-939,37.603992,126.961945,신영동
ST-938,37.600128,126.957832,홍지동
ST-937,37.483879,127.089027,수서동
ST-936,37.482883,126.901039,구로동
ST-935,37.488972,126.982719,방배동
ST-934,37.484661,126.9039,신림동
ST-933,37.5042,127.087532,잠실동
ST-932,37.508587,126.963493,흑석동
ST-931,37.591694,127.012497,동소문동4가
ST-930,37.493343,127.14473,거여동
ST-93,37.575069,126.899918,상암동
ST-929,37.459953,127.024742,우면동
ST-928,37.501713,126.995476,반포동
ST-927,37.502636,127.012314,반포동
ST-926,37.454407,127.064926,내곡동
ST-925,37.447659,127.055016,원지동
ST-924,37.476891,126.980576,사당동
ST-923,37.485508,126.981621,사당동
ST-922,37.496799,126.952873,상도동
ST-921,37.496094,126.954071,상도동
ST-920,37.494995,126.858253,개봉동
ST-92,37.571476,126.889687,상암동
ST-919,37.499889,126.867699,고척동
ST-918,37.494404,126.894447,구로동
ST-917,37.480148,126.883781,가산동
ST-916,37.665665,127.042671,방학동
ST-915,37.676941,127.055099,상계동
ST-914,37.66,127.072968,상계동
ST-913,37.622662,127.061897,월계동
ST-912,37.592541,127.086739,면목동
ST-911,37.601841,127.041718,하월곡동
ST-910,37.602627,127.041634,하월곡동
ST-91,37.575657,126.890793,상암동
ST-909,37.506779,127.07917,잠실동
ST-908,37.513962,127.121674,방이동
ST-907,37.478821,127.123512,문정동
ST-906,37.477509,127.126328,문정동
ST-905,37.479465,127.125328,문정동
ST-904,37.481537,127.122124,문정동
ST-903,37.484531,127.120163,문정동
ST-902,37.481632,127.119164,문정동
ST-901,37.481239,127.119797,문정동
ST-900,37.480576,127.118568,문정동
ST-90,37.577995,126.891472,상암동
ST-9,37.55751,126.918503,서교동
ST-899,37.480843,127.118011,문정동
ST-898,37.483761,127.117081,문정동
ST-897,37.49567,127.130592,가락동
ST-896,37.4977,127.146202,거여동
ST-895,37.493126,127.143822,거여동
ST-894,37.520077,127.112366,신천동
ST-893,37.495461,127.15329,마천동
ST-892,37.508968,127.125839,방이동
ST-891,37.513126,127.10096,신천동
