학교종류명,설립구분,표준학교코드,학교명,영문학교명,관할조직명,도로명우편번호,도로명주소,도로명상세주소,전화번호,홈페이지주소,팩스번호,남녀공학구분명,고등학교구분명,산업체특별학급존재여부,고등학교일반실업구분명,특수목적고등학교계열명,입시전후기구분명,주야구분명,설립일자,개교기념일,시도교육청코드,시도교육청명,소재지명,주야과정,계열명,학과명,적재일시,위도,경도
각종학교(고),사립,7041275,지구촌학교 고등학교,Global School,서울특별시남부교육지원청,8358,서울특별시 구로구 오리로 1189,"(오류동, 금강프라자)",02-6910-1004,http://globalsarang.sen.sc.kr,02-6910-1073,남여공학,,N,,,전기,주간,20230301,20111115,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20230615,,
고등학교,사립,7011586,동국대학교사범대학부속가람고등학교,"Girls High School Attached To College Of Education, Dongguk University",서울특별시교육청,5038,서울특별시 광진구 광나루로36길 47,동국대학교사범대학부속가람고등학교,0220491577,garam.sen.hs.kr,0220491588,남여공학,일반고,N,일반계,,후기,주간,19300620,19300620,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20250302,,
고등학교,공립,7011585,서울디지털콘텐츠고등학교,Seoul Digital Content High School,서울특별시교육청,7514,서울특별시 강서구 방화대로47길 9,"(방화동,서울디지털콘텐츠고등학교)",02-2666-2106,https://sdcont.sen.hs.kr/,02-2666-2161,남여공학,특성화고,N,전문계,,전기,주간,19940105,19940105,B10,서울특별시교육청,서울특별시,주간,공업계,웹디자인과,20230615,,
고등학교,사립,7011584,서울백영고등학교,SEOUL BAEKYOUNG HIGH SCHOOL,서울특별시교육청,7597,서울특별시 강서구 방화대로34길 13,(방화동),02-2665-5900,http://sby.sen.hs.kr,02-2666-0065,남여공학,특성화고,N,전문계,,전기,주간,19870109,19870605,B10,서울특별시교육청,서울특별시,주간,상업계,사이버정보통신과,20230615,,
각종학교(고),공립,7011583,서울온라인학교,Seoul Online School,서울특별시교육청,4764,서울특별시 성동구 왕십리로 199,(행당동),02-399-9786,http://,,남여공학,일반고,N,해당없음,,전후기,주간,20250301,20250301,B10,서울특별시교육청,서울특별시,주간,일반계,일반학과,20241013,,
고등학교,공립,7011575,서울반도체고등학교,Seoul Semiconductor high school,서울특별시교육청,2511,서울특별시 동대문구 겸재로 21,", 서울반도체고등학교 (휘경동)",02-2230-9885,https://ssc.sen.hs.kr/,02-2216-3646,남여공학,특성화고,N,전문계,,전기,주간,19971220,19980702,B10,서울특별시교육청,서울특별시,주간,공업계,건설교통과,20230615,,
고등학교,사립,7011569,미림마이스터고등학교,Mirim Meister High School,서울특별시교육청,8821,서울특별시 관악구 호암로 546,미림마이스터고등학교,02-872-4071,http://www.e-mirim.hs.kr,02-887-0856,남여공학,특목고,N,전문계,산업수요 맞춤형 고등학교,전기,주간,19910301,19910531,B10,서울특별시교육청,서울특별시,주간,공업계,게임애니메이션과,20240310,,
고등학교,사립,7011568,염광메디텍고등학교,Yumkwang Meditech High School,서울특별시교육청,1874,서울특별시 노원구 월계로45가길 9,", 염광메디텍고등학교 (월계동)",02-994-3105,http://ykm.sen.hs.kr,02-903-2813,남여공학,특성화고,N,전문계,,전기,주간,19680301,19680301,B10,서울특별시교육청,서울특별시,주간,특성화,메디컬스킨케어과,20240303,,
고등학교,공립,7011558,서울웹툰애니메이션고등학교,Seoul Webtoon Animation High School,서울특별시교육청,6761,서울특별시 서초구 과천대로 852-23,(방배동),02-6011-4100,https://swas.sen.hs.kr,02-597-9693,남여공학,특성화고,N,전문계,,전기,주간,19940105,19940506,B10,서울특별시교육청,서울특별시,주간,특성화,컴퓨터네트워크과,20230615,37.4695966,126.9885142
고등학교,공립,7011540,솔샘고등학교,Solsaem High School,서울특별시교육청,1190,서울특별시 강북구 인수봉로 39,/ 솔샘고등학교,02-982-6104,http://solsaem.sen.hs.kr,02-982-6106,남여공학,자율고,N,일반계,,후기,주간,20090301,20090610,B10,서울특별시교육청,서울특별시,주간,일반계,자연과정,20230615,,
고등학교,사립,7011539,서울동구고등학교,SEOUL DONGGOO HIGH SCHOOL,서울특별시교육청,2834,서울특별시 성북구 성북로8길 71,/ 동구마케팅고등학교 (성북동),02-762-1301,donggoo.sen.hs.kr,02-747-6525,남여공학,특성화고,N,전문계,,전기,주간,19420617,19420617,B10,서울특별시교육청,서울특별시,주간,상업계,글로벌마케팅과,20240324,37.5931469,127.0067482
고등학교,사립,7011513,서울정화고등학교,Seoul Jeonghwa High School,서울특별시교육청,2480,서울특별시 동대문구 홍릉로15길 50,(제기동)정화여자상업고등학교,02-960-1495,http://jeonghwa.sen.hs.kr,02-965-9155,여,특성화고,N,전문계,,전기,주간,19080901,19080901,B10,서울특별시교육청,서울특별시,주간,상업계,병원사무관리과,20230615,,
