상호명,주소,신주소,경도,위도
1898 명동성당 ,100-809 서울 중구 명동2가 1-1 ,"04537 서울 중구 명동길 74 (명동2가, 명동성당) ",,
SeMA 벙커 ,150-010 서울 영등포구 여의도동 2-6 ,07327 서울 영등포구 의사당대로 지하 101 (여의도역) ,,
63스퀘어,150-763 서울 영등포구 여의도동 60 ,"07345 서울 영등포구 63로 50 (여의도동, 63한화생명빌딩) ",,
THEO 띠오, 서울 강남구 삼성동 124-16 ,"06156 서울 강남구 봉은사로68길 55-3 (삼성동, BANG2011)  지하 1층",127.052814516912,37.5091076879546
JS슈즈디자인연구소, 서울 성동구 성수동2가 350 ,04775 서울 성동구 성덕정길 72-4 (성수동2가) 2층 ,127.0514181912,37.53785947208
ECC(Ewha Campus Complex),120-750 서울 서대문구 대현동 11-1 ,"03760 서울 서대문구 이화여대길 52 (대현동, 이화여자대학교) ",,
aT센터, 서울 서초구 양재동 232 ,"06774 서울 서초구 강남대로 27 (양재동, AT센터) ",127.03914128256,37.4682564509667
HYBE INSIGHT (하이브 뮤지엄), 서울 용산구 한강로3가 65-9 ,"04389 서울 용산구 한강대로 42 (한강로3가, 용산트레이드센터) 하이브 인사이트 지하 1, 2층",126.964232254597,37.5246225124344
KCDF갤러리, 서울 종로구 관훈동 182-2 ,"03145 서울 종로구 인사동11길 8 (관훈동, 공예종합유통지원센터) ",126.98411998685,37.5740167194827
PKM갤러리,110-230 서울 종로구 삼청동 157-83 ,"03049 서울 종로구 삼청로7길 40 (삼청동, 피케이엠 갤러리) ",,
SJ쿤스트할레,135-819 서울 강남구 논현동 97-22 ,06054 서울 강남구 언주로148길 5 (논현동) ,,
만나분식,  ,"06284 서울 강남구 삼성로 212 (대치동, 은마아파트) ",,
가무,  ,04536 서울 중구 명동4길 16 ,,
경복궁 돌담길 , 서울 종로구 세종로 1-1 ,"03045 서울 종로구 사직로 161 (세종로, 경복궁) ",126.9768513578,37.5808477574564
서울메트로미술관, 서울 종로구 적선동 81-1 ,"03170 서울 종로구 사직로 지하 130 (적선동, 3호선 경복궁역) ",126.973206515467,37.5757611449079
경희대학교 자연사박물관,130-701 서울 동대문구 회기동 1 ,02447 서울특별시 동대문구 경희대로 26 자연사박물관,,
국립한글박물관 , 서울 용산구 용산동6가 168-6 ,"04383 서울 용산구 서빙고로 139 (용산동6가, 국립한글박물관) ",126.981719904907,37.5225181679263
국립현대미술관 서울관 갤러리아트존,110-200 서울 종로구 소격동 165 국립현대미술관 ,03062 서울 종로구 삼청로 30 (소격동) 국립현대미술관 ,,
낙원떡집, 서울 종로구 낙원동 9 ,03132 서울 종로구 삼일대로 438 (낙원동) ,126.987918610698,37.573794623626
만나분식,  ,03039 서울 종로구 필운대로1길 4 1층 ,,
납청놋전,  ,03146 서울 종로구 인사동10길 5 (관훈동) ,,
디지털미디어시티, 서울 마포구 상암동 1612 택지개발지구 DMC,"03926 서울 마포구 월드컵북로 366 (상암동, DMC 홍보관) ",126.892113669313,37.5777329331873
백범광장공원,100-873 서울 중구 회현동1가 100-5 ,04633 서울 중구 퇴계로8길 49-4 ,,
백양세탁, 서울 종로구 계동 140-24 ,03057 서울 종로구 계동길 54 (계동) ,126.986825741944,37.579720526952
서대문형무소역사관,120-080 서울 서대문구 현저동 101 ,"03732 서울 서대문구 통일로 251 (현저동, 독립공원) ",,
